asv,D1N1_419,D1N2_125,D1N3_90,D1N4_45,D2N1_40,D2N2_125,D2N3_200,D2N4_620,D2N5_5,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV5,53021,54799,5245,57,0,41,88,235,0,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Ectothiorhodospiraceae,NA,NA
ASV1,352,127,474,17703,35204,354,184,437,27490,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus CC9902,NA
ASV2,20,47,938,16053,30329,398,36,234,16698,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus Actinomarina,NA
ASV6,9,25,902,8033,13145,274,11,108,8413,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus Actinomarina,NA
ASV7,8,43,1104,7682,8670,750,37,96,6258,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ia,NA
ASV4,26,5,444,5377,8931,467,33,135,8536,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
ASV35,0,4305,2838,0,0,5682,4631,6118,0,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,LS-NOB,NA
ASV9,28,45,1116,6684,7617,746,30,50,4970,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ia,NA
ASV13,11,44,1105,7492,7400,480,20,67,3805,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ia,NA
ASV15,23,32,966,5448,5898,409,46,84,3397,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ia,NA
ASV66,512,2029,7637,0,0,160,41,80,0,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996 marine group,NA
ASV43,0,23,671,1731,5015,545,29,11,2418,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,NA
ASV91,27,2299,3861,31,3,1095,528,347,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,NA
