asv,D1N1_419,D1N2_125,D1N3_90,D1N4_45,D2N1_40,D2N2_125,D2N3_200,D2N4_620,D2N5_5,total,Kingdom,Supergroup,Division,Class,Order,Family,Genus,Species
ASV181,360,333,123,0,76,17,100,189,1200,2398,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Radial-centric-basal-Coscinodiscophyceae,Rhizosolenia,Rhizosolenia similoides
ASV154,89,24,0,0,9,0,261,0,32,415,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Radial-centric-basal-Coscinodiscophyceae,Rhizosolenia,Rhizosolenia delicatula
ASV273,96,12,17,68,12,28,61,77,40,411,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Polar-centric-Mediophyceae,Chaetoceros,Chaetoceros tenuissimus
ASV268,0,121,26,65,36,1,2,10,88,349,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Polar-centric-Mediophyceae,Skeletonema,Skeletonema menzellii
ASV409,132,0,0,0,0,11,124,0,16,283,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Polar-centric-Mediophyceae,Chaetoceros,Chaetoceros anastomosans
ASV631,80,0,33,24,4,0,0,0,101,242,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Polar-centric-Mediophyceae,Chaetoceros,Chaetoceros decipiens
ASV2047,88,0,0,0,0,0,78,0,28,194,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Araphid-pennate,Delphineis,Delphineis sp.
ASV927,0,0,0,0,13,15,0,94,4,126,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Polar-centric-Mediophyceae,Bacteriastrum,Bacteriastrum elegans
ASV2309,97,0,0,0,0,0,0,0,12,109,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Radial-centric-basal-Coscinodiscophyceae,Guinardia,Guinardia striata
ASV2223,0,0,0,0,36,0,63,0,0,99,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Polar-centric-Mediophyceae,Chaetoceros,Chaetoceros affinis
ASV3629,0,0,0,0,0,0,0,66,0,66,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Polar-centric-Mediophyceae,Chaetoceros,Chaetoceros affinis
ASV3409,0,0,0,0,6,0,59,0,0,65,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Raphid-pennate,Haslea,Haslea sp.
ASV1987,0,0,0,0,4,0,44,0,15,63,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Raphid-pennate,Pseudo-nitzschia,Pseudo-nitzschia pseudodelicatissima
ASV2570,0,0,0,0,0,0,0,58,5,63,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Polar-centric-Mediophyceae,Chaetoceros,Chaetoceros affinis
ASV3614,0,0,10,29,0,0,0,0,24,63,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Polar-centric-Mediophyceae,Chaetoceros,Chaetoceros elegans
ASV3804,0,0,0,0,0,0,61,0,0,61,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Araphid-pennate,Hyalosira,Hyalosira delicatula
ASV2079,0,0,0,0,0,0,60,0,0,60,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Polar-centric-Mediophyceae,Chaetoceros,Chaetoceros affinis
ASV3890,0,0,0,0,0,0,58,0,0,58,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Radial-centric-basal-Coscinodiscophyceae,Rhizosolenia,Rhizosolenia delicatula
ASV383,0,0,13,0,0,0,33,0,10,56,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Polar-centric-Mediophyceae,Chaetoceros,Chaetoceros affinis
ASV1148,0,0,0,0,0,0,54,0,0,54,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Polar-centric-Mediophyceae,Bacteriastrum,Bacteriastrum jadranum
ASV4041,0,0,0,0,0,0,0,54,0,54,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Araphid-pennate,Delphineis,Delphineis sp.
ASV3061,0,0,14,8,0,0,13,0,16,51,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Polar-centric-Mediophyceae,Skeletonema,NA
ASV4165,0,0,0,0,50,0,0,0,0,50,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariophyta_X,Radial-centric-basal-Coscinodiscophyceae,Hemidiscaceae_X,Hemidiscaceae X sp.
