Sample;Station;Niskin;Depth;Site;Category;Latitude;Longitude;OX_WK;TA;DIC;pH;pCO2;Aragonite;Silica;Nitrite;Nitrate;Phosphate;OX_CTD
D1N1_419;BH1;1;419;D1;Deep;17,10;41,46;0,25667;2429,71667;2320,43000;7,58667;1312,15667;1,36667;18,08000;0,02000;1,62333;1,55333;0,25200
D1N2_125;BH1;2;125;D1;Deep;17,10;41,46;0,47000;2442,92667;2288,80667;7,71000;1006,57333;1,81333;11,45000;0,01000;6,92333;1,04667;0,47200
D1N3_90;BH1;3;90;D1;Deep;17,10;41,46;0,77333;2448,55333;2271,04667;7,74000;938,54667;2,06000;11,55667;0,02333;8,67667;1,16333;0,77300
D1N4_45;BH1;4;45;D1;Deep;17,10;41,46;5,08333;2411,09500;2121,65667;7,93000;556,18500;3,19500;1,77500;0,29500;2,46000;0,42500;5,11900
D2N1_40;BH2;1;40;D2;Deep;18,27;40,97;4,93667;2425,52333;2110,87000;7,95500;514,50500;3,49000;1,33333;0,19000;0,90000;0,17000;6,02800
D2N2_125;BH2;2;125;D2;Deep;18,27;40,97;0,99000;2445,34667;2278,36667;7,73000;950,38333;1,92667;10,06333;0,01333;13,65333;1,09667;0,73300
D2N3_200;BH2;3;200;D2;Deep;18,27;40,97;1,02333;2434,28333;2267,14000;7,74667;905,25000;1,88667;8,64667;0,01333;13,78000;0,90333;0,69500
D2N4_620;BH2;4;620;D2;Deep;18,27;40,97;0,69667;2392,85333;2282,92000;7,59667;1249,36333;1,32667;11,60667;0,02000;16,08333;1,05000;0,36200
D2N5_5;BH2;5;5;D2;Deep;18,27;40,97;5,68667;2426,79333;2097,25000;7,98667;478,43000;3,64000;0,79000;0,01000;1,06333;0,12667;6,02500
D2N6_325;BH2;6;325;D2;Deep;18,27;40,97;0,88000;2417,99500;2276,45000;7,67500;1054,78000;1,62500;9,99000;0,05333;14,83667;0,95667;0,44600
S1N1_45;BH3;1;45;S1;Shallow;19,18;40,44;;2361,15000;2127,65000;7,83333;726,59333;2,63000;0,98333;0,02000;0,36667;0,35000;7,08300
S1N2_30;BH3;2;30;S1;Shallow;19,18;40,44;;2309,81333;2118,35333;7,62000;2979,37667;2,85667;0,85667;0,00667;0,39667;0,55000;7,27800
S1N3_20;BH3;3;20;S1;Shallow;19,18;40,44;;2598,66667;2110,34333;8,18000;289,82000;5,29333;0,83000;0,02000;1,01667;1,09333;7,47700
S1N4_10;BH3;4;10;S1;Shallow;19,18;40,44;;2407,10667;2106,56333;7,94000;539,93333;3,32000;0,55000;0,01000;0,52333;0,39000;11,16700
S1N5_3;BH3;5;3;S1;Shallow;19,18;40,44;;2417,83333;2110,37667;7,95000;533,81000;3,42667;0,93333;0,02667;1,13667;0,93667;8,63900
S2N1_5;BH4;1;5;S2;Shallow;19,23;40,35;5,95000;2431,51000;2115,06000;7,96000;515,77000;3,52667;0,81667;0,00333;1,02667;0,21000;6,44100
S2N2_50;BH4;2;50;S2;Shallow;19,23;40,35;5,08000;2408,61667;2124,80000;7,92333;567,18000;3,12000;1,13000;0,07667;1,02000;0,19333;6,04700
S2N3_40;BH4;3;40;S2;Shallow;19,23;40,35;5,10333;2405,19667;2115,77000;7,93333;551,88333;3,17333;0,97667;0,05667;1,11667;0,22667;6,08900
S2N4_25;BH4;4;25;S2;Shallow;19,23;40,35;5,74333;2397,42667;2091,60333;7,96000;510,64667;3,34333;0,64667;0,00667;0,08667;0,11000;6,59600
S2N5_15;BH4;5;15;S2;Shallow;19,23;40,35;6,17667;2403,73000;2081,43667;7,98000;481,01333;3,52000;0,47000;0,00000;0,31000;0,09000;6,78900
S2N6_5;BH4;6;5;S2;Shallow;19,23;40,35;5,69667;2427,05667;2115,29667;7,95333;525,08667;3,47333;0,88333;0,00333;0,70000;0,17667;6,78700
